0.95,0.492919,1.93091,0.980693,0.0739047,0.0670324,0.0965259,-0.173387,-0.225685,0.529229,-0.397216,0.711377,-0.508152,0.279183,0.493192,1.93058,0.98039,-0.002196,-0.002976,0.002547,-0.411541,0.703724,-0.514614,0.265668,-0.103393,-0.00342085,-0.0129852
3.6,0.495644,1.92592,0.981831,0.185658,0.0251886,0.439616,0.128321,-0.0548265,-1.73376,-0.39421,0.721909,-0.497939,0.274778,0.496193,1.9308,0.98535,0.032707,0.011188,0.065785,-0.412993,0.713033,-0.502641,0.261482,-0.0175929,-0.0430747,0.0257611
3.65,0.496629,1.9267,0.986358,0.199486,0.0295556,0.48316,-0.207656,-0.941798,-0.573548,-0.39256,0.723037,-0.496839,0.276161,0.49808,1.93171,0.989554,0.046516,0.024005,0.101976,-0.412008,0.714431,-0.501236,0.261918,0.00893609,-0.033999,0.0725359
3.7,0.491955,1.92835,0.99145,0.215308,0.0201011,0.532161,0.221635,-0.0995984,-0.787792,-0.390436,0.721626,-0.499699,0.2777,0.500909,1.93276,0.995988,0.066235,0.018828,0.148098,-0.410457,0.714418,-0.501963,0.262992,-0.0301593,0.0777021,0.0439125
3.75,0.494748,1.91998,0.99198,0.231428,0.0167454,0.568102,0.0427604,0.319632,0.614543,-0.38719,0.721082,-0.501395,0.280583,0.504714,1.93383,1.0039,0.087463,0.020374,0.175511,-0.408329,0.71414,-0.503263,0.264569,-0.0413294,0.0777021,0.0634602
3.8,0.498731,1.91937,1.00192,0.227599,0.0213231,0.594021,-0.150453,0.264179,-0.483869,-0.385721,0.721341,-0.501781,0.281252,0.509288,1.93499,1.01353,0.090074,0.027423,0.200229,-0.406599,0.713738,-0.504728,0.265527,0.0047473,0.05606,0.0271573
3.85,0.509279,1.92078,0.997726,0.226597,0.0105737,0.610498,0.0945078,-0.519682,-0.995458,-0.384697,0.720477,-0.503868,0.281137,0.513891,1.93629,1.02392,0.096362,0.022619,0.214026,-0.405021,0.713422,-0.505945,0.266471,-0.0559902,-0.00397935,-0.0182212
3.9,0.516331,1.91821,1.00733,0.222084,0.0190533,0.633576,0.22061,0.35254,-0.2579,-0.38392,0.720377,-0.504806,0.280771,0.518718,1.93755,1.03505,0.096764,0.029514,0.231544,-0.404155,0.713032,-0.507259,0.266333,-0.049707,0.0818908,0.00202458
4,0.535679,1.91551,1.02554,0.230549,0.0253358,0.65885,0.192772,-0.960892,-2.10853,-0.382129,0.719065,-0.507898,0.281003,0.529159,1.94133,1.05934,0.113016,0.04481,0.252036,-0.402586,0.711506,-0.510477,0.266641,-0.0371406,0.118892,-6.98132e-05
4.05,0.544422,1.91474,1.03651,0.231623,0.0265478,0.656589,1.36365,-2.03952,-0.0355946,-0.382565,0.718725,-0.508783,0.279675,0.534758,1.9439,1.07196,0.115653,0.051894,0.243201,-0.402532,0.711234,-0.511277,0.265914,-0.00712094,0.000907571,-0.0719774
4.15,0.570427,1.90459,1.0296,0.238934,0.0594252,0.692311,1.44615,0.0675786,1.712,-0.385041,0.719462,-0.505101,0.281052,0.546994,1.95082,1.09705,0.12961,0.086128,0.262505,-0.405968,0.71131,-0.508478,0.265854,0.142977,-0.0172439,0.0439125
4.2,0.585366,1.89818,1.0252,0.24373,0.0713291,0.749558,0.162591,-0.386664,-1.0534,-0.386983,0.717888,-0.503827,0.284674,0.553791,1.95543,1.11175,0.141243,0.102457,0.321738,-0.408301,0.710184,-0.506415,0.269205,0.270735,0.0539656,-0.0175231
4.25,0.604229,1.90043,1.02889,0.241713,0.0713399,0.790633,-0.14789,-0.438893,-1.69231,-0.390942,0.716025,-0.501684,0.287725,0.561009,1.96073,1.12891,0.147368,0.108657,0.359826,-0.412508,0.708131,-0.503892,0.272912,0.238621,-0.0437729,-0.101997
4.4,0.670154,1.90811,1.03428,0.256621,0.0664984,0.833921,1.28932,-0.634048,-2.04034,-0.411025,0.70926,-0.489284,0.297673,0.585313,1.97749,1.18859,0.176549,0.116807,0.393195,-0.432951,0.70141,-0.490495,0.282828,0.359398,-0.0730944,-0.213698
4.55,0.729095,1.91984,1.04167,0.281624,0.0450504,0.737094,-0.155518,-0.216717,-0.226762,-0.433502,0.696643,-0.481333,0.308355,0.614608,1.99472,1.23871,0.22092,0.112286,0.28096,-0.456711,0.689065,-0.480156,0.29335,0.295868,0.0169646,-0.228359
4.7,0.774711,1.93783,1.05355,0.295857,0.0189696,0.617804,1.37958,-1.65813,-3.87408,-0.446991,0.686729,-0.477922,0.316532,0.649845,2.01083,1.27102,0.248131,0.103243,0.155401,-0.470834,0.677881,-0.476636,0.302674,0.163223,0.128666,-0.122243
4.9,0.829637,1.96587,1.07974,0.329946,0.0227971,0.667406,-0.123812,-0.141538,-1.37657,-0.456562,0.676214,-0.478417,0.324659,0.704958,2.034,1.30127,0.297139,0.128582,0.180654,-0.48193,0.666738,-0.476377,0.310273,0.0941082,0.0581544,-0.0566185
5.1,0.867721,1.99638,1.14528,0.337188,0.0261689,0.78851,-0.253429,0.56674,2.15884,-0.457118,0.669256,-0.482274,0.332491,0.766459,2.06287,1.34666,0.31714,0.154777,0.278233,-0.483173,0.6599,-0.479073,0.318692,0.0194081,0.187309,-0.0705811
5.25,0.894729,2.00024,1.21045,0.322477,0.0664101,0.864815,0.182227,1.1112,1.34902,-0.458448,0.663195,-0.490092,0.331373,0.813152,2.08919,1.39269,0.299722,0.210053,0.34168,-0.485161,0.64961,-0.491705,0.317571,-0.0357443,0.00928515,-0.178093
5.4,0.918322,2.02536,1.29032,0.327909,0.115735,1.06712,0.536756,0.130432,0.308064,-0.463089,0.667818,-0.484693,0.323483,0.857072,2.12736,1.45735,0.2959,0.304894,0.533426,-0.492125,0.650546,-0.490781,0.306165,-0.0210836,-0.0479616,-0.0482409
